hash,blockNumber,timeStamp,from,to,value_LPT
0xd8eed1fc47dc029dbbc648f72ccd1af0bef3d9ba38798453d5e12093233982ba,17995051,1693006943,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xf977814e90da44bfa03b6295a0616a897441acec,153111.447
0xe075738a094f57d6ea655b86c2899022c9a8733d20cfa07443b9193d56286db9,17995051,1693006943,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0xf977814e90da44bfa03b6295a0616a897441acec,159595.029
0x66d684e90f0666f21f3623ea61e8f901bd2f9ca360f7dc9a973ac8399841eb7b,17995051,1693006943,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,675806.51
0xba1862712f4586fa8973271868a27801f058e12153f34429e0e68053859ceeae,18012243,1693214795,0xf977814e90da44bfa03b6295a0616a897441acec,0x5a52e96bacdabb82fd05763e25335261b270efcb,1088512.986
0x54ab3b66f8efea8dcfe7e682f24d627d52ba031264c548738e99dbc9e2cff953,18061917,1693816055,0xf977814e90da44bfa03b6295a0616a897441acec,0x28c6c06298d514db089934071355e5743bf21d60,500000.0
0x7dcf4f7c47cb9859d8d766656fb5dc23dacc9cf8d7d7563724fc6b99a762af77,18227325,1695820487,0x6a23f4940bd5ba117da261f98aae51a8bffa210a,0xf977814e90da44bfa03b6295a0616a897441acec,5793.0
0x2cf777b7fdcd7456980701cdff74e5e9f920c3f9c7ead1513bccacf32b2dc129,18227349,1695820775,0xf977814e90da44bfa03b6295a0616a897441acec,0x76f52d1ae6bbecd0c777185116954da424502f31,5200.0
0x26b87a88ab8ef65e95b873d13ab271dec92af6ff8147d141aa57f157d4f6a13b,18325342,1697004767,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,509723.309
0x51520f72068b74b41d512d027e94d550169611008f14644d80b072c9fecf30e5,18444102,1698440603,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,470802.00200000004
0xeb5d0cb1b2f034f1f2f9f2c099d6e71f060de8641983f089879504bd43aa41e2,18464916,1698692387,0x6a23f4940bd5ba117da261f98aae51a8bffa210a,0xf977814e90da44bfa03b6295a0616a897441acec,3346.0
0x7993b83eb2874514a199948d13b99c52230ade920c56655344f7436c626ebb7d,18464917,1698692399,0x6a23f4940bd5ba117da261f98aae51a8bffa210a,0xf977814e90da44bfa03b6295a0616a897441acec,1892.0
0x218b95b7b72baf7efbb9f0b4672eb6c47035e22e0273a5ea85bbfe21f5bbdd59,18464946,1698692747,0xf977814e90da44bfa03b6295a0616a897441acec,0x143a123eabe0bf14593dd1ff57a786caf5c07fc1,1892.0
0xf2750e0d380ed764aadc0474d0c2ff3c7ef72723de68c42ee5e74d3e40755bd6,18540167,1699602659,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,325142.487
0xc81dc4dd8b64da841180403fd7e0554cb24d8e38bc788580f5aad4002ecc471d,18579892,1700082767,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,195042.347
0xf71a5f10f367bc5e21716625ba2d459720fc33985d887108937056e471a8b57b,18646599,1700889779,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,215599.23200000002
0xee7db880ec0ce44e3b8af6923a799c0f7fedeff9e783b157078fb355b90b26cc,18677241,1701260543,0x6a23f4940bd5ba117da261f98aae51a8bffa210a,0xf977814e90da44bfa03b6295a0616a897441acec,1892.0
0x6b40cae50a29e275edcdf5e0eb430a096c7ee51688b4f4438e24430a5e38ec35,19274426,1708498979,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xf977814e90da44bfa03b6295a0616a897441acec,39438.013
0xca3375491cf2c29b4e966777d11e27f7ab7e4b7d5ef7d6dd8306c74acf3dc048,19274426,1708498979,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,777398.821
0x09d4cee4bb43fe79b3cc61d68ea4b393319768766f568070a6062cab3228cf9a,19279685,1708562771,0xf977814e90da44bfa03b6295a0616a897441acec,0x28c6c06298d514db089934071355e5743bf21d60,538977.211
0xa97d7793849c5d9e3ff2de552bdeec411b1cdd925904803f36faf887d50e7b6d,19291451,1708705343,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xf977814e90da44bfa03b6295a0616a897441acec,29147.917999999998
